Constituency,Constituency Code,Conservative,Labour,Liberal Democrat,Reform UK,The Green Party,Scottish National Party (SNP),Plaid Cymru,Other,GE 2019 Notional Result,Winner,Margin,Change
Maidstone and Malling,E14001349,32.9%,26.7%,19.6%,14.2%,5.5%,0.0%,0.0%,1.2%,Conservative,Conservative,6.2%,Conservative HOLD
Makerfield,E14001350,18.3%,53.2%,3.3%,19.2%,3.1%,0.0%,0.0%,2.9%,Labour,Labour,34.0%,Labour HOLD
Maldon,E14001351,40.0%,25.7%,12.8%,17.0%,4.4%,0.0%,0.0%,0.0%,Conservative,Conservative,14.3%,Conservative HOLD
Manchester Central,E14001352,12.1%,57.9%,4.5%,12.2%,7.4%,0.0%,0.0%,5.9%,Labour,Labour,45.7%,Labour HOLD
Manchester Rusholme,E14001353,7.5%,73.3%,0.0%,5.8%,8.6%,0.0%,0.0%,4.9%,Labour,Labour,64.7%,Labour HOLD
Manchester Withington,E14001354,8.8%,66.5%,11.3%,5.2%,5.1%,0.0%,0.0%,3.2%,Labour,Labour,55.3%,Labour HOLD
Mansfield,E14001355,29.6%,37.5%,1.4%,24.7%,3.0%,0.0%,0.0%,3.8%,Conservative,Labour,8.0%,Labour GAIN from Conservative
Melksham and Devizes,E14001356,30.9%,17.9%,33.2%,12.5%,5.6%,0.0%,0.0%,0.0%,Conservative,Liberal Democrat,2.3%,Liberal Democrat GAIN from Conservative
Melton and Syston,E14001357,32.8%,35.0%,4.3%,17.3%,8.6%,0.0%,0.0%,1.9%,Conservative,Labour,2.2%,Labour GAIN from Conservative
Meriden and Solihull East,E14001358,36.8%,32.8%,8.5%,15.0%,6.9%,0.0%,0.0%,0.0%,Conservative,Conservative,4.0%,Conservative HOLD
Merthyr Tydfil and Aberdare,W07000099,12.2%,55.4%,2.1%,16.8%,2.5%,0.0%,8.8%,2.2%,Labour,Labour,38.6%,Labour HOLD
Mid and South Pembrokeshire,W07000100,28.6%,40.4%,5.3%,11.8%,3.7%,0.0%,9.0%,1.2%,Conservative,Labour,11.9%,Labour GAIN from Conservative
Mid Bedfordshire,E14001359,27.6%,28.7%,16.0%,15.8%,8.9%,0.0%,0.0%,3.0%,Conservative,Labour,1.0%,Labour GAIN from Conservative
Mid Buckinghamshire,E14001360,35.8%,23.4%,20.1%,12.7%,6.7%,0.0%,0.0%,1.4%,Conservative,Conservative,12.4%,Conservative HOLD
Mid Cheshire,E14001361,23.1%,51.9%,5.6%,12.7%,4.0%,0.0%,0.0%,2.7%,Conservative,Labour,28.8%,Labour GAIN from Conservative
Mid Derbyshire,E14001362,31.4%,43.1%,4.3%,14.2%,5.6%,0.0%,0.0%,1.5%,Conservative,Labour,11.7%,Labour GAIN from Conservative
Mid Dorset and North Poole,E14001363,31.5%,17.0%,47.6%,0.0%,3.3%,0.0%,0.0%,0.6%,Conservative,Liberal Democrat,16.1%,Liberal Democrat GAIN from Conservative
Mid Dunbartonshire,S14000097,10.3%,18.4%,45.8%,3.3%,2.2%,17.6%,0.0%,2.4%,Scottish National Party (SNP),Liberal Democrat,27.4%,Liberal Democrat GAIN from SNP
Mid Leicestershire,E14001364,33.3%,41.1%,3.6%,15.2%,6.9%,0.0%,0.0%,0.0%,Conservative,Labour,7.8%,Labour GAIN from Conservative
Mid Norfolk,E14001365,33.6%,33.6%,5.7%,22.3%,4.8%,0.0%,0.0%,0.0%,Conservative,Labour,0.0%,Labour GAIN from Conservative
Mid Sussex,E14001366,28.2%,24.1%,30.3%,10.1%,6.0%,0.0%,0.0%,1.3%,Conservative,Liberal Democrat,2.1%,Liberal Democrat GAIN from Conservative
Middlesbrough and Thornaby East,E14001367,12.5%,42.3%,4.8%,23.2%,6.6%,0.0%,0.0%,10.7%,Labour,Labour,19.1%,Labour HOLD
Middlesbrough South and East Cleveland,E14001368,34.4%,52.7%,5.4%,0.0%,3.8%,0.0%,0.0%,3.7%,Conservative,Labour,18.3%,Labour GAIN from Conservative
Midlothian,S14000045,10.2%,49.1%,6.0%,7.1%,0.0%,26.3%,0.0%,1.4%,Scottish National Party (SNP),Labour,22.8%,Labour GAIN from SNP
Milton Keynes Central,E14001369,25.0%,45.2%,10.1%,12.0%,5.4%,0.0%,0.0%,2.3%,Conservative,Labour,20.2%,Labour GAIN from Conservative
Milton Keynes North,E14001370,27.6%,49.0%,5.7%,13.1%,4.6%,0.0%,0.0%,0.0%,Conservative,Labour,21.4%,Labour GAIN from Conservative
Mitcham and Morden,E14001371,17.2%,58.2%,4.9%,10.4%,5.1%,0.0%,0.0%,4.2%,Labour,Labour,40.9%,Labour HOLD
Monmouthshire,W07000101,29.3%,36.4%,10.1%,7.3%,9.1%,0.0%,5.9%,1.9%,Conservative,Labour,7.1%,Labour GAIN from Conservative
Montgomeryshire and Glyndwr,W07000102,25.6%,36.2%,7.7%,15.5%,8.8%,0.0%,6.2%,0.0%,Conservative,Labour,10.6%,Labour GAIN from Conservative
"Moray West, Nairn and Strathspey",S14000098,22.5%,13.8%,6.9%,12.6%,3.1%,40.5%,0.0%,0.6%,Scottish National Party (SNP),Scottish National Party (SNP),18.0%,SNP HOLD
Morecambe and Lunesdale,E14001372,29.1%,36.7%,14.2%,13.7%,6.3%,0.0%,0.0%,0.0%,Conservative,Labour,7.6%,Labour GAIN from Conservative
"Motherwell, Wishaw and Carluke",S14000099,7.1%,46.1%,3.2%,7.0%,5.7%,26.8%,0.0%,4.1%,Scottish National Party (SNP),Labour,19.3%,Labour GAIN from SNP
Na h-Eileanan an Iar,S14000027,23.4%,16.2%,20.5%,3.7%,0.0%,29.1%,0.0%,1.8%,Scottish National Party (SNP),Scottish National Party (SNP),5.8%,SNP HOLD
Neath and Swansea East,W07000103,17.1%,50.5%,3.4%,16.2%,3.6%,0.0%,9.2%,0.0%,Labour,Labour,33.4%,Labour HOLD
New Forest East,E14001373,34.9%,25.5%,16.8%,16.5%,5.5%,0.0%,0.0%,0.8%,Conservative,Conservative,9.5%,Conservative HOLD
New Forest West,E14001374,37.0%,25.1%,14.5%,15.3%,7.3%,0.0%,0.0%,0.9%,Conservative,Conservative,11.9%,Conservative HOLD
Newark,E14001375,34.7%,36.4%,6.3%,16.6%,4.6%,0.0%,0.0%,1.6%,Conservative,Labour,1.7%,Labour GAIN from Conservative
Newbury,E14001376,28.4%,17.4%,38.3%,10.1%,5.1%,0.0%,0.0%,0.6%,Conservative,Liberal Democrat,9.9%,Liberal Democrat GAIN from Conservative
Newcastle upon Tyne Central and West,E14001377,14.7%,57.9%,1.9%,14.4%,5.4%,0.0%,0.0%,5.8%,Labour,Labour,43.2%,Labour HOLD
Newcastle upon Tyne East and Wallsend,E14001378,12.5%,62.0%,4.0%,13.4%,5.3%,0.0%,0.0%,2.9%,Labour,Labour,48.6%,Labour HOLD
Newcastle upon Tyne North,E14001379,17.2%,53.1%,13.0%,9.3%,5.3%,0.0%,0.0%,2.1%,Labour,Labour,35.9%,Labour HOLD
Newcastle-under-Lyme,E14001380,26.5%,48.1%,1.5%,17.5%,6.5%,0.0%,0.0%,0.0%,Conservative,Labour,21.6%,Labour GAIN from Conservative
Newport East,W07000104,17.1%,53.6%,2.6%,14.9%,4.2%,0.0%,4.7%,3.0%,Labour,Labour,36.5%,Labour HOLD
Newport West and Islwyn,W07000105,19.0%,50.6%,2.9%,12.0%,6.1%,0.0%,5.9%,3.5%,Labour,Labour,31.6%,Labour HOLD
Newton Abbot,E14001381,28.6%,21.2%,29.8%,13.6%,4.6%,0.0%,0.0%,2.3%,Conservative,Liberal Democrat,1.2%,Liberal Democrat GAIN from Conservative
Newton Aycliffe and Spennymoor,E14001382,23.1%,44.0%,4.6%,20.7%,3.3%,0.0%,0.0%,4.3%,Conservative,Labour,20.9%,Labour GAIN from Conservative
Normanton and Hemsworth,E14001383,15.6%,46.8%,3.3%,26.2%,8.1%,0.0%,0.0%,0.0%,Labour,Labour,20.6%,Labour HOLD
North Ayrshire and Arran,S14000048,15.7%,31.0%,8.1%,5.6%,4.1%,34.2%,0.0%,1.3%,Scottish National Party (SNP),Scottish National Party (SNP),3.2%,SNP HOLD
North Bedfordshire,E14001384,34.9%,31.4%,13.4%,15.7%,4.6%,0.0%,0.0%,0.0%,Conservative,Conservative,3.5%,Conservative HOLD
North Cornwall,E14001385,33.1%,14.8%,26.3%,18.2%,5.9%,0.0%,0.0%,1.7%,Conservative,Conservative,6.8%,Conservative HOLD
North Cotswolds,E14001386,31.9%,23.2%,16.9%,13.8%,13.0%,0.0%,0.0%,1.2%,Conservative,Conservative,8.7%,Conservative HOLD
North Devon,E14001387,30.1%,14.1%,33.7%,14.7%,6.1%,0.0%,0.0%,1.4%,Conservative,Liberal Democrat,3.6%,Liberal Democrat GAIN from Conservative
North Dorset,E14001388,33.8%,18.0%,24.6%,15.7%,7.0%,0.0%,0.0%,1.0%,Conservative,Conservative,9.2%,Conservative HOLD
North Durham,E14001389,17.0%,46.1%,6.1%,20.8%,4.6%,0.0%,0.0%,5.5%,Labour,Labour,25.4%,Labour HOLD
North East Cambridgeshire,E14001390,35.2%,27.7%,3.9%,25.7%,5.9%,0.0%,0.0%,1.7%,Conservative,Conservative,7.5%,Conservative HOLD
North East Derbyshire,E14001391,29.8%,44.4%,3.1%,17.2%,3.6%,0.0%,0.0%,1.9%,Conservative,Labour,14.7%,Labour GAIN from Conservative
North East Fife,S14000100,5.9%,4.5%,62.0%,12.1%,1.2%,14.4%,0.0%,0.0%,Scottish National Party (SNP),Liberal Democrat,47.6%,Liberal Democrat GAIN from SNP
North East Hampshire,E14001392,34.7%,20.7%,27.0%,11.6%,4.0%,0.0%,0.0%,1.9%,Conservative,Conservative,7.7%,Conservative HOLD
North East Hertfordshire,E14001393,30.1%,35.0%,15.1%,13.0%,6.9%,0.0%,0.0%,0.0%,Conservative,Labour,4.9%,Labour GAIN from Conservative
North East Somerset and Hanham,E14001394,29.6%,34.4%,17.0%,12.4%,5.3%,0.0%,0.0%,1.4%,Conservative,Labour,4.8%,Labour GAIN from Conservative
North Herefordshire,E14001395,32.0%,15.3%,12.6%,14.6%,24.2%,0.0%,0.0%,1.3%,Conservative,Conservative,7.8%,Conservative HOLD
North Norfolk,E14001396,30.1%,15.5%,33.9%,16.2%,4.3%,0.0%,0.0%,0.0%,Conservative,Liberal Democrat,3.8%,Liberal Democrat GAIN from Conservative
North Northumberland,E14001397,30.7%,34.7%,13.3%,14.2%,5.1%,0.0%,0.0%,2.1%,Conservative,Labour,3.9%,Labour GAIN from Conservative
North Shropshire,E14001398,27.6%,23.5%,9.6%,26.2%,12.2%,0.0%,0.0%,1.0%,Conservative,Conservative,1.5%,Conservative HOLD
North Somerset,E14001399,30.8%,33.9%,17.8%,11.1%,4.4%,0.0%,0.0%,2.0%,Conservative,Labour,3.1%,Labour GAIN from Conservative
North Warwickshire and Bedworth,E14001400,32.6%,38.9%,1.9%,20.4%,6.2%,0.0%,0.0%,0.0%,Conservative,Labour,6.3%,Labour GAIN from Conservative
North West Cambridgeshire,E14001401,30.5%,35.7%,6.1%,18.6%,9.1%,0.0%,0.0%,0.0%,Conservative,Labour,5.3%,Labour GAIN from Conservative
North West Essex,E14001402,34.9%,24.2%,20.1%,13.5%,5.7%,0.0%,0.0%,1.6%,Conservative,Conservative,10.6%,Conservative HOLD
North West Hampshire,E14001403,32.3%,25.8%,20.6%,14.7%,5.2%,0.0%,0.0%,1.5%,Conservative,Conservative,6.5%,Conservative HOLD
North West Leicestershire,E14001404,25.5%,36.1%,3.2%,18.5%,2.7%,0.0%,0.0%,14.1%,Conservative,Labour,10.6%,Labour GAIN from Conservative
North West Norfolk,E14001405,33.5%,34.1%,5.7%,21.1%,5.6%,0.0%,0.0%,0.0%,Conservative,Labour,0.7%,Labour GAIN from Conservative
Northampton North,E14001406,25.9%,46.0%,3.3%,15.5%,6.2%,0.0%,0.0%,3.1%,Conservative,Labour,20.1%,Labour GAIN from Conservative
Northampton South,E14001407,31.9%,40.5%,4.8%,15.8%,5.0%,0.0%,0.0%,2.1%,Conservative,Labour,8.6%,Labour GAIN from Conservative
Norwich North,E14001408,24.2%,50.0%,2.4%,13.8%,6.8%,0.0%,0.0%,2.9%,Conservative,Labour,25.8%,Labour GAIN from Conservative
Norwich South,E14001409,13.1%,54.0%,4.7%,10.0%,15.7%,0.0%,0.0%,2.5%,Labour,Labour,38.3%,Labour HOLD
Nottingham East,E14001410,12.5%,61.3%,2.2%,11.8%,7.8%,0.0%,0.0%,4.4%,Labour,Labour,48.8%,Labour HOLD
Nottingham North and Kimberley,E14001411,20.0%,49.6%,3.0%,22.3%,5.1%,0.0%,0.0%,0.0%,Labour,Labour,27.2%,Labour HOLD
Nottingham South,E14001412,16.5%,57.6%,3.6%,12.1%,7.4%,0.0%,0.0%,2.9%,Labour,Labour,41.1%,Labour HOLD
Nuneaton,E14001413,29.8%,42.1%,1.4%,17.6%,7.7%,0.0%,0.0%,1.4%,Conservative,Labour,12.4%,Labour GAIN from Conservative
Old Bexley and Sidcup,E14001414,37.6%,38.7%,2.8%,15.0%,3.9%,0.0%,0.0%,2.0%,Conservative,Labour,1.1%,Labour GAIN from Conservative
Oldham East and Saddleworth,E14001415,22.3%,44.4%,7.4%,17.2%,4.1%,0.0%,0.0%,4.6%,Labour,Labour,22.1%,Labour HOLD
"Oldham West, Chadderton and Royton",E14001416,16.9%,54.9%,2.0%,16.2%,3.7%,0.0%,0.0%,6.3%,Labour,Labour,38.1%,Labour HOLD
Orkney and Shetland,S14000051,8.5%,10.1%,39.2%,9.9%,17.8%,14.7%,0.0%,0.0%,Liberal Democrat,Liberal Democrat,21.4%,Liberal Democrat HOLD
Orpington,E14001417,38.0%,32.3%,9.4%,14.0%,4.6%,0.0%,0.0%,1.6%,Conservative,Conservative,5.7%,Conservative HOLD
Ossett and Denby Dale,E14001418,29.6%,46.0%,2.4%,14.5%,3.9%,0.0%,0.0%,3.8%,Conservative,Labour,16.4%,Labour GAIN from Conservative
Oxford East,E14001419,12.9%,61.8%,12.8%,0.0%,9.2%,0.0%,0.0%,3.3%,Labour,Labour,49.0%,Labour HOLD
Oxford West and Abingdon,E14001420,16.5%,22.7%,47.0%,7.4%,5.7%,0.0%,0.0%,0.8%,Liberal Democrat,Liberal Democrat,24.3%,Liberal Democrat HOLD
Paisley and Renfrewshire North,S14000101,5.9%,47.6%,1.7%,7.0%,11.0%,26.8%,0.0%,0.0%,Scottish National Party (SNP),Labour,20.8%,Labour GAIN from SNP
Paisley and Renfrewshire South,S14000102,11.4%,35.8%,12.9%,7.5%,4.9%,23.8%,0.0%,3.7%,Scottish National Party (SNP),Labour,12.0%,Labour GAIN from SNP
Peckham,E14001421,9.0%,60.5%,5.9%,7.3%,11.4%,0.0%,0.0%,6.0%,Labour,Labour,49.1%,Labour HOLD
Pendle and Clitheroe,E14001422,28.9%,43.2%,5.0%,15.5%,5.1%,0.0%,0.0%,2.4%,Conservative,Labour,14.4%,Labour GAIN from Conservative
Penistone and Stocksbridge,E14001423,27.6%,46.6%,7.9%,14.8%,3.1%,0.0%,0.0%,0.0%,Conservative,Labour,19.0%,Labour GAIN from Conservative
Penrith and Solway,E14001424,29.1%,37.8%,6.7%,16.8%,7.4%,0.0%,0.0%,2.2%,Conservative,Labour,8.7%,Labour GAIN from Conservative
Perth and Kinross-shire,S14000103,27.3%,20.0%,16.9%,3.8%,0.0%,31.3%,0.0%,0.7%,Scottish National Party (SNP),Scottish National Party (SNP),4.1%,SNP HOLD
Peterborough,E14001425,22.9%,45.2%,2.7%,17.7%,6.0%,0.0%,0.0%,5.5%,Conservative,Labour,22.3%,Labour GAIN from Conservative
Plymouth Moor View,E14001426,29.4%,42.5%,2.8%,21.7%,3.6%,0.0%,0.0%,0.0%,Conservative,Labour,13.0%,Labour GAIN from Conservative
Plymouth Sutton and Devonport,E14001427,17.6%,51.9%,3.3%,18.9%,6.4%,0.0%,0.0%,2.0%,Labour,Labour,33.0%,Labour HOLD
"Pontefract, Castleford and Knottingley",E14001428,16.8%,45.8%,5.3%,24.5%,4.8%,0.0%,0.0%,2.9%,Labour,Labour,21.3%,Labour HOLD
Pontypridd,W07000106,17.0%,49.4%,3.6%,13.8%,5.3%,0.0%,9.2%,1.8%,Labour,Labour,32.4%,Labour HOLD
Poole,E14001429,30.5%,26.9%,19.9%,14.7%,5.6%,0.0%,0.0%,2.4%,Conservative,Conservative,3.6%,Conservative HOLD
Poplar and Limehouse,E14001430,11.1%,50.3%,12.0%,7.1%,7.6%,0.0%,0.0%,11.9%,Labour,Labour,38.3%,Labour HOLD
Portsmouth North,E14001431,33.7%,33.8%,8.7%,19.8%,4.0%,0.0%,0.0%,0.0%,Conservative,Labour,0.2%,Labour GAIN from Conservative
Portsmouth South,E14001432,18.6%,46.6%,13.6%,14.0%,5.6%,0.0%,0.0%,1.6%,Labour,Labour,28.0%,Labour HOLD
Preston,E14001433,14.0%,60.0%,4.4%,13.5%,5.6%,0.0%,0.0%,2.6%,Labour,Labour,46.0%,Labour HOLD
Putney,E14001434,21.5%,50.9%,11.0%,9.0%,4.9%,0.0%,0.0%,2.8%,Labour,Labour,29.5%,Labour HOLD
Queen's Park and Maida Vale,E14001435,13.1%,53.0%,9.8%,8.4%,8.5%,0.0%,0.0%,7.3%,Labour,Labour,40.0%,Labour HOLD
Rawmarsh and Conisbrough,E14001436,18.0%,46.3%,2.5%,25.5%,4.7%,0.0%,0.0%,3.2%,Labour,Labour,20.8%,Labour HOLD
Rayleigh and Wickford,E14001437,40.6%,30.6%,8.4%,17.1%,3.3%,0.0%,0.0%,0.0%,Conservative,Conservative,10.0%,Conservative HOLD
Reading Central,E14001438,16.3%,59.5%,5.2%,9.0%,7.9%,0.0%,0.0%,2.2%,Labour,Labour,43.2%,Labour HOLD
Reading West and Mid Berkshire,E14001439,29.4%,34.1%,18.5%,10.6%,5.6%,0.0%,0.0%,1.9%,Conservative,Labour,4.8%,Labour GAIN from Conservative
Redcar,E14001440,23.6%,44.6%,4.3%,21.1%,3.3%,0.0%,0.0%,3.0%,Conservative,Labour,21.0%,Labour GAIN from Conservative
Redditch,E14001441,32.7%,38.3%,3.3%,17.9%,6.7%,0.0%,0.0%,1.1%,Conservative,Labour,5.6%,Labour GAIN from Conservative
Reigate,E14001442,34.5%,27.1%,17.6%,12.1%,8.6%,0.0%,0.0%,0.0%,Conservative,Conservative,7.4%,Conservative HOLD
Rhondda and Ogmore,W07000107,11.8%,49.2%,3.4%,20.3%,3.2%,0.0%,12.1%,0.0%,Labour,Labour,28.9%,Labour HOLD
Ribble Valley,E14001443,31.6%,41.4%,6.6%,13.9%,5.2%,0.0%,0.0%,1.4%,Conservative,Labour,9.8%,Labour GAIN from Conservative
Richmond and Northallerton,E14001444,40.9%,23.6%,12.4%,15.9%,4.7%,0.0%,0.0%,2.5%,Conservative,Conservative,17.2%,Conservative HOLD
Richmond Park,E14001445,21.5%,12.4%,53.3%,7.7%,3.8%,0.0%,0.0%,1.4%,Liberal Democrat,Liberal Democrat,31.9%,Liberal Democrat HOLD
Rochdale,E14001446,13.5%,58.4%,7.9%,14.2%,2.9%,0.0%,0.0%,3.1%,Labour,Labour,44.2%,Labour HOLD
Rochester and Strood,E14001447,30.1%,32.2%,4.3%,24.0%,6.9%,0.0%,0.0%,2.5%,Conservative,Labour,2.1%,Labour GAIN from Conservative
Romford,E14001448,39.5%,36.3%,2.3%,16.4%,3.0%,0.0%,0.0%,2.6%,Conservative,Conservative,3.3%,Conservative HOLD
Romsey and Southampton North,E14001449,31.9%,21.3%,31.9%,10.7%,3.4%,0.0%,0.0%,0.8%,Conservative,Conservative,0.0%,Conservative HOLD
Rossendale and Darwen,E14001450,27.5%,49.8%,1.5%,16.0%,3.7%,0.0%,0.0%,1.7%,Conservative,Labour,22.3%,Labour GAIN from Conservative
Rother Valley,E14001451,26.7%,43.7%,2.2%,22.4%,5.0%,0.0%,0.0%,0.0%,Conservative,Labour,16.9%,Labour GAIN from Conservative
Rotherham,E14001452,0.0%,43.5%,7.3%,30.3%,10.2%,0.0%,0.0%,8.7%,Labour,Labour,13.2%,Labour HOLD
Rugby,E14001453,29.3%,42.3%,6.1%,13.5%,7.6%,0.0%,0.0%,1.4%,Conservative,Labour,13.0%,Labour GAIN from Conservative
"Ruislip, Northwood and Pinner",E14001454,37.8%,38.9%,7.6%,11.0%,4.6%,0.0%,0.0%,0.0%,Conservative,Labour,1.1%,Labour GAIN from Conservative
Runcorn and Helsby,E14001455,15.8%,55.6%,5.5%,14.9%,6.6%,0.0%,0.0%,1.7%,Labour,Labour,39.8%,Labour HOLD
Runnymede and Weybridge,E14001456,33.6%,25.1%,23.6%,11.8%,3.3%,0.0%,0.0%,2.6%,Conservative,Conservative,8.4%,Conservative HOLD
Rushcliffe,E14001457,26.9%,48.8%,7.8%,10.6%,3.5%,0.0%,0.0%,2.5%,Conservative,Labour,21.9%,Labour GAIN from Conservative
Rutherglen,S14000104,6.2%,59.2%,4.5%,6.2%,0.0%,17.9%,0.0%,6.1%,Scottish National Party (SNP),Labour,41.3%,Labour GAIN from SNP
Rutland and Stamford,E14001458,38.3%,23.8%,17.0%,14.5%,5.0%,0.0%,0.0%,1.4%,Conservative,Conservative,14.5%,Conservative HOLD
Salford,E14001459,13.1%,59.3%,3.8%,14.8%,6.9%,0.0%,0.0%,2.2%,Labour,Labour,44.5%,Labour HOLD
Salisbury,E14001460,30.7%,25.4%,20.3%,13.9%,8.3%,0.0%,0.0%,1.5%,Conservative,Conservative,5.3%,Conservative HOLD
Scarborough and Whitby,E14001461,28.2%,39.8%,4.2%,17.1%,5.5%,0.0%,0.0%,5.2%,Conservative,Labour,11.5%,Labour GAIN from Conservative
Scunthorpe,E14001462,25.5%,51.3%,0.5%,17.0%,3.4%,0.0%,0.0%,2.3%,Conservative,Labour,25.8%,Labour GAIN from Conservative
Sefton Central,E14001463,18.6%,60.4%,5.2%,10.3%,2.9%,0.0%,0.0%,2.6%,Labour,Labour,41.8%,Labour HOLD
Selby,E14001464,24.8%,48.4%,4.2%,16.8%,5.9%,0.0%,0.0%,0.0%,Conservative,Labour,23.6%,Labour GAIN from Conservative
Sevenoaks,E14001465,36.9%,23.0%,16.6%,16.7%,5.7%,0.0%,0.0%,1.0%,Conservative,Conservative,13.9%,Conservative HOLD
Sheffield Brightside and Hillsborough,E14001466,15.8%,61.5%,2.1%,0.0%,13.8%,0.0%,0.0%,6.8%,Labour,Labour,45.7%,Labour HOLD
Sheffield Central,E14001467,8.2%,59.5%,1.1%,0.0%,27.4%,0.0%,0.0%,3.7%,Labour,Labour,32.1%,Labour HOLD
Sheffield Hallam,E14001468,15.1%,39.1%,39.0%,0.0%,5.2%,0.0%,0.0%,1.6%,Labour,Labour,0.1%,Labour HOLD
Sheffield Heeley,E14001469,16.8%,59.0%,6.9%,0.0%,13.0%,0.0%,0.0%,4.3%,Labour,Labour,42.2%,Labour HOLD
Sheffield South East,E14001470,21.9%,61.8%,5.5%,0.0%,6.0%,0.0%,0.0%,4.8%,Labour,Labour,40.0%,Labour HOLD
Sherwood Forest,E14001471,31.3%,42.6%,3.3%,17.6%,3.0%,0.0%,0.0%,2.3%,Conservative,Labour,11.3%,Labour GAIN from Conservative
Shipley,E14001472,28.2%,53.2%,2.3%,9.7%,3.3%,0.0%,0.0%,3.4%,Conservative,Labour,25.1%,Labour GAIN from Conservative
Shrewsbury,E14001473,27.3%,42.4%,7.6%,14.1%,7.4%,0.0%,0.0%,1.2%,Conservative,Labour,15.2%,Labour GAIN from Conservative
Sittingbourne and Sheppey,E14001474,33.8%,24.1%,6.0%,26.1%,6.8%,0.0%,0.0%,3.2%,Conservative,Conservative,7.8%,Conservative HOLD
Skipton and Ripon,E14001475,34.9%,28.4%,12.6%,13.6%,8.2%,0.0%,0.0%,2.4%,Conservative,Conservative,6.5%,Conservative HOLD
Sleaford and North Hykeham,E14001476,37.3%,29.3%,6.0%,20.5%,3.9%,0.0%,0.0%,3.0%,Conservative,Conservative,8.0%,Conservative HOLD
Slough,E14001477,16.2%,55.5%,4.8%,13.2%,5.4%,0.0%,0.0%,4.9%,Labour,Labour,39.4%,Labour HOLD
Smethwick,E14001478,16.2%,54.6%,1.8%,16.0%,6.5%,0.0%,0.0%,4.9%,Labour,Labour,38.3%,Labour HOLD
Solihull West and Shirley,E14001479,37.1%,32.0%,12.2%,10.3%,6.9%,0.0%,0.0%,1.6%,Conservative,Conservative,5.2%,Conservative HOLD
South Basildon and East Thurrock,E14001480,31.9%,31.4%,3.8%,24.5%,4.0%,0.0%,0.0%,4.5%,Conservative,Conservative,0.5%,Conservative HOLD
South Cambridgeshire,E14001481,20.8%,21.5%,45.9%,6.5%,3.9%,0.0%,0.0%,1.4%,Conservative,Liberal Democrat,24.3%,Liberal Democrat GAIN from Conservative
South Cotswolds,E14001168,33.2%,19.4%,27.0%,13.0%,6.5%,0.0%,0.0%,0.9%,Conservative,Conservative,6.2%,Conservative HOLD
South Derbyshire,E14001483,29.7%,42.7%,2.5%,18.8%,4.8%,0.0%,0.0%,1.7%,Conservative,Labour,13.0%,Labour GAIN from Conservative
South Devon,E14001484,29.6%,17.3%,32.6%,13.7%,5.6%,0.0%,0.0%,1.4%,Conservative,Liberal Democrat,3.0%,Liberal Democrat GAIN from Conservative
South Dorset,E14001485,31.0%,28.7%,14.7%,16.6%,7.0%,0.0%,0.0%,2.0%,Conservative,Conservative,2.3%,Conservative HOLD
South East Cornwall,E14001486,32.0%,24.2%,18.0%,18.7%,5.5%,0.0%,0.0%,1.6%,Conservative,Conservative,7.7%,Conservative HOLD
South Holland and The Deepings,E14001487,38.9%,26.8%,4.5%,23.4%,4.4%,0.0%,0.0%,2.0%,Conservative,Conservative,12.1%,Conservative HOLD
South Leicestershire,E14001488,35.7%,33.9%,7.2%,16.5%,6.7%,0.0%,0.0%,0.0%,Conservative,Conservative,1.9%,Conservative HOLD
South Norfolk,E14001489,29.3%,35.7%,13.2%,13.6%,6.4%,0.0%,0.0%,1.8%,Conservative,Labour,6.3%,Labour GAIN from Conservative
South Northamptonshire,E14001490,33.6%,32.6%,8.6%,16.0%,7.8%,0.0%,0.0%,1.5%,Conservative,Conservative,1.0%,Conservative HOLD
South Ribble,E14001491,27.8%,52.8%,3.5%,13.0%,2.9%,0.0%,0.0%,0.0%,Conservative,Labour,25.0%,Labour GAIN from Conservative
South Shields,E14001492,14.9%,47.7%,1.9%,23.3%,7.2%,0.0%,0.0%,5.0%,Labour,Labour,24.4%,Labour HOLD
South Shropshire,E14001493,35.0%,19.4%,14.6%,17.0%,13.9%,0.0%,0.0%,0.0%,Conservative,Conservative,15.6%,Conservative HOLD
South Suffolk,E14001494,33.7%,30.4%,9.8%,15.5%,10.6%,0.0%,0.0%,0.0%,Conservative,Conservative,3.4%,Conservative HOLD
South West Devon,E14001495,34.6%,33.4%,9.2%,15.9%,5.1%,0.0%,0.0%,1.8%,Conservative,Conservative,1.2%,Conservative HOLD
South West Hertfordshire,E14001496,33.3%,24.6%,18.2%,15.3%,4.6%,0.0%,0.0%,4.0%,Conservative,Conservative,8.7%,Conservative HOLD
South West Norfolk,E14001497,33.2%,27.8%,5.6%,24.6%,6.8%,0.0%,0.0%,2.2%,Conservative,Conservative,5.4%,Conservative HOLD
South West Wiltshire,E14001498,30.9%,26.0%,18.2%,16.9%,6.3%,0.0%,0.0%,1.7%,Conservative,Conservative,4.9%,Conservative HOLD
Southampton Itchen,E14001499,24.8%,47.0%,2.7%,16.8%,6.2%,0.0%,0.0%,2.5%,Conservative,Labour,22.2%,Labour GAIN from Conservative
Southampton Test,E14001500,16.2%,49.4%,5.2%,16.0%,10.6%,0.0%,0.0%,2.7%,Labour,Labour,33.2%,Labour HOLD
