ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,CON (low),CON (high),LAB (low),LAB (high),LDM (low),LDM (high),RFM (low),RFM (high),GRN (low),GRN (high),SNP (low),SNP (high),PCY (low),PCY (high),OTH (low),OTH (high)
E14001291,Honiton and Sidmouth,conservative,libdem,conservative,36.3%,13.9%,25.0%,20.4%,3.8%,,,0.6%,31.3%,40.7%,9.0%,18.7%,19.4%,31.3%,16.1%,25.4%,2.7%,5.6%,,,,,0.1%,2.1%
E14001292,Hornchurch and Upminster,conservative,labour,conservative,34.2%,30.2%,11.1%,20.2%,4.1%,,,0.2%,30.1%,38.8%,25.1%,35.9%,7.7%,15.7%,15.7%,24.2%,2.8%,5.9%,,,,,0.0%,0.9%
E14001293,Hornsey and Friern Barnet,labour,libdem,labour,4.8%,68.3%,13.5%,5.0%,7.9%,,,0.5%,2.7%,6.9%,62.6%,73.2%,8.5%,17.9%,3.6%,6.5%,5.3%,11.4%,,,,,0.1%,2.2%
E14001294,Horsham,conservative,labour,conservative,34.6%,22.1%,21.7%,16.5%,4.9%,,,0.2%,30.3%,40.0%,16.2%,27.5%,16.4%,26.8%,12.5%,20.6%,3.6%,6.7%,,,,,0.1%,1.1%
E14001295,Houghton and Sunderland South,labour,brexit_party,labour,13.5%,50.3%,4.5%,26.7%,4.9%,,,0.0%,10.5%,16.6%,45.1%,55.1%,2.9%,7.7%,22.4%,31.4%,3.3%,7.2%,,,,,0.0%,0.0%
E14001296,Hove and Portslade,labour,conservative,labour,15.1%,64.1%,5.6%,8.5%,6.3%,,,0.4%,12.8%,17.6%,60.2%,67.4%,3.7%,8.4%,6.4%,10.9%,4.6%,8.5%,,,,,0.1%,1.3%
E14001297,Huddersfield,labour,conservative,labour,18.0%,57.0%,5.3%,13.2%,6.5%,,,0.0%,14.7%,20.7%,53.0%,61.1%,3.5%,8.5%,10.5%,16.6%,4.5%,8.8%,,,,,0.0%,0.0%
E14001298,Huntingdon,labour,conservative,conservative,29.9%,34.9%,11.6%,16.5%,5.9%,,,1.2%,25.8%,34.5%,28.6%,40.2%,8.1%,16.1%,12.8%,21.4%,4.2%,8.5%,,,,,0.3%,3.3%
E14001299,Hyndburn,labour,conservative,conservative,23.2%,47.8%,4.3%,20.4%,4.4%,,,0.0%,20.3%,26.6%,43.2%,51.7%,2.8%,7.2%,16.3%,24.3%,3.0%,6.3%,,,,,0.0%,0.0%
E14001300,Ilford North,labour,conservative,labour,19.6%,58.9%,5.3%,10.6%,4.4%,,,1.1%,16.6%,23.4%,53.3%,62.8%,3.0%,8.7%,8.0%,13.7%,3.2%,6.3%,,,,,0.3%,3.5%
E14001301,Ilford South,labour,conservative,labour,12.3%,64.7%,4.1%,8.4%,6.7%,,,3.8%,10.0%,15.3%,59.5%,69.1%,2.4%,6.7%,6.3%,10.2%,4.2%,10.2%,,,,,1.3%,8.6%
E14001302,Ipswich,labour,conservative,conservative,27.1%,45.2%,5.1%,17.0%,5.2%,,,0.5%,23.2%,30.2%,40.7%,49.7%,3.3%,7.3%,14.2%,20.7%,3.8%,7.7%,,,,,0.1%,1.5%
E14001303,Isle of Wight East,labour,conservative,conservative,28.9%,35.1%,6.3%,20.5%,8.7%,,,0.5%,24.4%,33.2%,29.9%,40.1%,3.8%,10.2%,16.1%,24.5%,6.6%,11.0%,,,,,0.1%,2.0%
E14001304,Isle of Wight West,labour,conservative,conservative,25.8%,38.7%,4.2%,20.3%,10.5%,,,0.5%,22.2%,30.0%,32.9%,44.3%,2.6%,6.6%,15.9%,24.9%,7.6%,13.7%,,,,,0.1%,1.8%
E14001305,Islington North,labour,other,labour,5.4%,66.0%,7.8%,5.2%,7.6%,,,8.0%,3.4%,7.8%,59.8%,70.7%,4.9%,11.4%,3.7%,6.7%,5.0%,10.4%,,,,,3.4%,14.7%
E14001306,Islington South and Finsbury,labour,libdem,labour,10.2%,62.1%,10.5%,8.4%,7.8%,,,1.0%,7.9%,12.7%,57.1%,65.7%,7.1%,14.4%,6.5%,11.0%,5.1%,11.4%,,,,,0.2%,3.0%
E14001307,Jarrow and Gateshead East,labour,brexit_party,labour,9.0%,54.6%,5.0%,25.4%,5.5%,,,0.5%,6.7%,11.5%,50.1%,58.4%,3.1%,8.2%,21.3%,29.7%,3.7%,7.9%,,,,,0.2%,2.0%
E14001308,Keighley and Ilkley,labour,conservative,conservative,25.3%,49.0%,4.4%,16.8%,3.9%,,,0.6%,21.5%,28.8%,43.9%,53.3%,2.8%,7.0%,13.0%,20.4%,2.8%,5.5%,,,,,0.2%,2.2%
E14001309,Kenilworth and Southam,conservative,labour,conservative,32.9%,31.6%,14.7%,14.1%,6.4%,,,0.3%,28.3%,37.6%,26.1%,37.6%,10.2%,20.2%,11.0%,17.9%,4.3%,9.0%,,,,,0.1%,1.1%
E14001310,Kensington and Bayswater,labour,conservative,labour,23.4%,47.1%,12.7%,10.1%,6.1%,,,0.6%,19.6%,27.2%,41.2%,53.1%,7.3%,17.4%,7.7%,13.5%,4.1%,9.0%,,,,,0.1%,2.2%
E14001311,Kettering,labour,conservative,conservative,27.2%,45.1%,4.6%,18.7%,4.1%,,,0.3%,23.4%,30.9%,40.4%,50.7%,3.0%,6.9%,14.9%,22.2%,2.9%,5.9%,,,,,0.1%,1.0%
E14001312,Kingston and Surbiton,libdem,conservative,libdem,19.2%,12.9%,53.0%,9.9%,4.6%,,,0.4%,16.0%,23.1%,7.2%,17.6%,47.4%,58.1%,7.5%,12.6%,3.0%,6.8%,,,,,0.1%,1.4%
E14001313,Kingston upon Hull East,labour,brexit_party,labour,15.6%,47.7%,5.9%,26.8%,4.0%,,,0.0%,12.8%,18.8%,42.9%,52.0%,3.5%,9.4%,22.8%,30.9%,2.7%,5.6%,,,,,0.0%,0.0%
E14001314,Kingston upon Hull North and Cottingham,labour,brexit_party,labour,13.9%,52.8%,6.3%,21.5%,5.2%,,,0.3%,11.4%,16.4%,47.7%,56.6%,4.1%,9.6%,17.7%,25.4%,3.7%,7.8%,,,,,0.1%,0.8%
E14001315,Kingston upon Hull West and Haltemprice,labour,brexit_party,conservative,17.4%,49.0%,6.6%,23.3%,3.4%,,,0.3%,14.1%,20.9%,44.3%,53.1%,4.1%,10.2%,18.9%,27.7%,2.4%,4.7%,,,,,0.1%,0.9%
E14001316,Kingswinford and South Staffordshire,conservative,labour,conservative,39.9%,24.7%,6.5%,23.4%,5.1%,,,0.4%,34.6%,44.5%,19.4%,30.0%,4.3%,10.3%,18.7%,27.4%,3.6%,6.9%,,,,,0.1%,1.7%
E14001317,Knowsley,labour,brexit_party,labour,1.1%,79.3%,2.5%,11.4%,5.3%,,,0.4%,0.6%,2.9%,75.0%,82.1%,1.7%,4.2%,8.9%,13.8%,3.5%,7.9%,,,,,0.1%,1.6%
E14001318,Lancaster and Wyre,labour,conservative,conservative,23.6%,50.4%,3.8%,15.6%,6.6%,,,0.0%,19.9%,27.0%,45.3%,55.2%,2.3%,6.0%,11.8%,19.6%,4.5%,9.3%,,,,,0.0%,0.0%
E14001319,Leeds Central and Headingley,labour,brexit_party,labour,8.6%,63.0%,8.6%,9.7%,9.6%,,,0.4%,6.3%,11.3%,58.0%,67.1%,5.5%,12.1%,7.3%,12.2%,7.1%,13.0%,,,,,0.1%,1.5%
E14001320,Leeds East,labour,conservative,labour,22.2%,51.6%,4.3%,16.7%,4.7%,,,0.5%,18.7%,25.4%,46.6%,56.0%,2.6%,6.5%,13.5%,19.8%,3.1%,6.5%,,,,,0.1%,1.4%
E14001321,Leeds North East,labour,conservative,labour,10.6%,65.0%,7.3%,10.0%,6.7%,,,0.4%,8.3%,12.8%,60.4%,68.6%,4.7%,10.4%,8.0%,12.2%,4.5%,9.1%,,,,,0.1%,1.5%
E14001322,Leeds North West,labour,conservative,conservative,23.9%,47.8%,9.6%,12.7%,5.4%,,,0.6%,20.2%,27.2%,43.3%,52.1%,6.9%,13.2%,10.2%,15.4%,3.9%,7.8%,,,,,0.1%,1.9%
E14001323,Leeds South,labour,conservative,labour,12.2%,73.8%,5.1%,0.0%,5.8%,,,3.1%,8.9%,15.1%,68.5%,77.7%,3.3%,8.4%,0.0%,0.0%,4.1%,8.0%,,,,,1.0%,7.2%
E14001324,Leeds South West and Morley,labour,conservative,conservative,24.7%,47.9%,3.9%,19.2%,4.1%,,,0.3%,20.8%,28.7%,42.9%,52.6%,2.6%,6.0%,15.6%,23.5%,2.8%,5.8%,,,,,0.0%,0.8%
E14001325,Leeds West and Pudsey,labour,conservative,labour,22.6%,51.3%,5.1%,15.6%,5.1%,,,0.4%,19.0%,26.0%,46.2%,55.9%,3.3%,7.5%,12.9%,19.4%,3.7%,7.5%,,,,,0.1%,1.9%
E14001326,Leicester East,labour,conservative,labour,22.0%,51.8%,6.0%,10.8%,5.4%,,,4.0%,18.1%,25.5%,46.6%,56.0%,3.7%,9.2%,8.2%,13.7%,3.7%,7.8%,,,,,1.5%,9.2%
E14001327,Leicester South,labour,conservative,labour,10.8%,68.8%,4.3%,8.7%,6.7%,,,0.7%,8.6%,13.4%,64.7%,72.1%,2.7%,6.3%,6.7%,11.1%,4.8%,9.0%,,,,,0.2%,2.8%
E14001328,Leicester West,labour,conservative,labour,19.0%,55.7%,6.1%,13.3%,5.1%,,,0.8%,15.3%,22.2%,50.5%,59.7%,4.1%,9.9%,10.3%,16.9%,3.4%,7.0%,,,,,0.2%,3.0%
E14001329,Leigh and Atherton,labour,brexit_party,conservative,17.9%,54.4%,4.0%,20.0%,3.4%,,,0.2%,14.9%,21.0%,49.7%,58.1%,2.6%,6.4%,16.7%,23.7%,2.3%,5.0%,,,,,0.0%,1.0%
E14001330,Lewes,libdem,conservative,conservative,26.5%,5.4%,45.6%,17.7%,4.6%,,,0.2%,22.4%,30.8%,1.2%,9.9%,40.0%,50.9%,13.9%,22.0%,3.2%,6.0%,,,,,0.0%,0.8%
E14001331,Lewisham East,labour,conservative,labour,10.9%,67.3%,6.5%,8.8%,5.8%,,,0.7%,8.6%,13.7%,62.6%,71.1%,4.3%,9.7%,6.6%,11.2%,3.7%,8.1%,,,,,0.1%,2.2%
E14001332,Lewisham North,labour,libdem,labour,7.0%,69.9%,8.6%,5.6%,7.8%,,,1.2%,4.8%,9.3%,65.4%,73.5%,5.8%,12.1%,4.2%,7.2%,5.3%,10.5%,,,,,0.4%,3.7%
E14001333,Lewisham West and East Dulwich,labour,green,labour,7.6%,65.8%,8.0%,6.4%,10.5%,,,1.8%,5.6%,9.8%,59.7%,69.8%,5.2%,12.3%,4.5%,8.2%,7.2%,13.7%,,,,,0.6%,5.6%
E14001334,Leyton and Wanstead,labour,conservative,labour,9.9%,67.7%,7.4%,7.7%,6.7%,,,0.6%,7.2%,12.4%,63.2%,71.9%,4.5%,10.9%,5.9%,9.7%,4.8%,9.3%,,,,,0.1%,2.3%
E14001335,Lichfield,conservative,labour,conservative,34.2%,33.0%,7.3%,20.0%,5.2%,,,0.3%,29.7%,38.5%,27.1%,39.0%,4.5%,11.1%,15.5%,24.5%,3.7%,7.2%,,,,,0.0%,0.9%
E14001336,Lincoln,labour,conservative,conservative,24.3%,46.7%,5.8%,16.9%,5.9%,,,0.3%,20.6%,28.0%,40.7%,51.7%,3.8%,9.1%,13.5%,20.8%,4.0%,8.5%,,,,,0.1%,1.0%
E14001337,Liverpool Garston,labour,brexit_party,labour,4.1%,73.1%,5.2%,10.4%,6.6%,,,0.5%,2.2%,6.0%,68.5%,77.1%,3.1%,8.3%,8.0%,13.2%,4.3%,9.3%,,,,,0.1%,1.6%
E14001338,Liverpool Riverside,labour,brexit_party,labour,2.1%,80.3%,3.1%,7.8%,6.3%,,,0.4%,0.7%,3.9%,76.1%,83.2%,1.9%,5.4%,6.0%,9.8%,4.3%,9.4%,,,,,0.1%,1.4%
E14001339,Liverpool Walton,labour,brexit_party,labour,1.9%,78.5%,3.4%,10.3%,5.4%,,,0.5%,0.7%,3.5%,74.5%,81.4%,2.1%,5.6%,7.7%,12.7%,3.7%,7.8%,,,,,0.1%,1.5%
E14001340,Liverpool Wavertree,labour,green,labour,3.2%,73.9%,4.6%,8.0%,9.9%,,,0.5%,1.7%,5.0%,69.2%,77.4%,2.8%,7.0%,6.0%,9.8%,6.8%,13.8%,,,,,0.1%,1.9%
E14001341,Liverpool West Derby,labour,brexit_party,labour,2.2%,75.4%,3.5%,11.8%,6.0%,,,1.1%,0.7%,3.9%,70.8%,78.4%,2.0%,5.3%,9.2%,14.5%,3.9%,8.3%,,,,,0.3%,3.1%
E14001342,Loughborough,labour,conservative,conservative,29.7%,46.7%,6.2%,12.6%,4.8%,,,0.0%,25.1%,34.3%,41.5%,51.7%,3.9%,9.0%,8.7%,16.0%,3.3%,7.0%,,,,,0.0%,0.0%
E14001343,Louth and Horncastle,conservative,labour,conservative,35.7%,28.3%,5.3%,26.4%,3.6%,,,0.7%,31.0%,40.0%,22.7%,33.3%,3.5%,8.5%,21.4%,31.7%,2.5%,5.2%,,,,,0.2%,2.3%
E14001344,Lowestoft,labour,conservative,conservative,28.8%,39.3%,5.6%,20.9%,5.4%,,,0.0%,24.9%,32.7%,34.5%,43.9%,3.6%,8.8%,16.6%,25.7%,4.0%,7.7%,,,,,0.0%,0.0%
E14001345,Luton North,labour,conservative,labour,18.7%,56.1%,4.7%,13.9%,5.9%,,,0.8%,15.7%,21.9%,50.9%,60.5%,3.1%,7.1%,10.5%,17.4%,4.0%,8.8%,,,,,0.2%,2.4%
E14001346,Luton South and South Bedfordshire,labour,conservative,labour,16.9%,52.2%,6.9%,15.9%,6.2%,,,1.9%,13.8%,20.4%,45.8%,56.7%,4.5%,10.6%,12.6%,19.6%,4.5%,8.8%,,,,,0.5%,5.4%
E14001347,Macclesfield,labour,conservative,conservative,25.5%,47.9%,7.6%,13.0%,5.5%,,,0.5%,21.5%,29.9%,41.8%,52.9%,4.6%,11.2%,10.0%,17.3%,3.7%,7.5%,,,,,0.1%,1.8%
E14001348,Maidenhead,conservative,libdem,conservative,37.4%,19.6%,36.5%,0.0%,6.3%,,,0.2%,31.7%,43.9%,13.9%,25.2%,29.0%,43.3%,0.0%,0.0%,4.5%,9.0%,,,,,0.1%,0.9%
E14001349,Maidstone and Malling,conservative,labour,conservative,33.7%,30.5%,12.9%,16.7%,5.9%,,,0.3%,29.2%,37.7%,24.8%,35.2%,8.9%,17.6%,12.7%,21.5%,4.3%,8.5%,,,,,0.1%,0.9%
E14001350,Makerfield,labour,brexit_party,labour,14.1%,54.9%,4.2%,22.1%,4.5%,,,0.2%,11.8%,16.7%,50.4%,59.0%,2.6%,6.6%,18.5%,25.7%,3.1%,6.3%,,,,,0.0%,0.7%
E14001351,Maldon,conservative,brexit_party,conservative,40.3%,18.5%,14.1%,21.8%,5.4%,,,0.0%,34.8%,44.8%,12.7%,24.6%,10.1%,19.0%,17.4%,26.4%,3.6%,7.6%,,,,,0.0%,0.0%
E14001352,Manchester Central,labour,brexit_party,labour,9.1%,64.9%,6.8%,12.5%,6.1%,,,0.5%,7.0%,11.5%,60.4%,68.5%,4.7%,9.9%,10.0%,15.9%,4.6%,8.5%,,,,,0.1%,1.5%
E14001353,Manchester Rusholme,labour,green,labour,6.2%,72.4%,0.0%,8.3%,9.0%,,,4.0%,3.9%,8.6%,65.3%,75.6%,0.0%,0.0%,6.2%,10.5%,6.3%,13.2%,,,,,1.2%,10.0%
E14001354,Manchester Withington,labour,libdem,labour,4.1%,69.6%,10.7%,6.2%,7.5%,,,1.7%,2.3%,6.3%,63.3%,73.9%,6.7%,14.7%,4.6%,8.2%,4.9%,10.4%,,,,,0.5%,4.6%
E14001355,Mansfield,labour,conservative,conservative,31.0%,39.7%,3.8%,22.3%,3.0%,,,0.2%,27.5%,34.7%,33.8%,44.2%,2.4%,5.5%,17.6%,27.6%,2.2%,4.5%,,,,,0.1%,0.8%
E14001356,Melksham and Devizes,conservative,libdem,conservative,33.7%,13.5%,29.5%,19.1%,4.3%,,,0.0%,29.5%,38.2%,8.7%,19.1%,24.3%,35.4%,14.4%,23.7%,2.9%,5.8%,,,,,0.0%,0.0%
E14001357,Melton and Syston,labour,conservative,conservative,32.2%,36.4%,6.5%,19.4%,5.1%,,,0.3%,27.5%,37.2%,29.7%,41.9%,4.0%,10.1%,15.2%,24.0%,3.6%,7.5%,,,,,0.1%,1.4%
E14001358,Meriden and Solihull East,conservative,labour,conservative,33.0%,31.1%,10.3%,19.9%,5.7%,,,0.0%,28.9%,36.8%,25.2%,37.3%,6.9%,14.0%,15.4%,24.5%,4.0%,7.7%,,,,,0.0%,0.0%
E14001359,Mid Bedfordshire,conservative,labour,conservative,34.2%,33.9%,9.9%,17.1%,4.8%,,,0.3%,29.5%,38.4%,28.1%,38.9%,6.9%,13.4%,13.0%,20.9%,3.5%,6.5%,,,,,0.0%,1.3%
E14001360,Mid Buckinghamshire,conservative,labour,conservative,34.4%,28.1%,19.2%,13.6%,4.4%,,,0.2%,29.4%,39.4%,22.8%,34.2%,14.5%,24.9%,9.8%,17.7%,3.1%,6.1%,,,,,0.0%,0.9%
E14001361,Mid Cheshire,labour,conservative,conservative,20.1%,51.6%,6.2%,17.5%,4.3%,,,0.3%,16.6%,23.3%,46.3%,56.4%,3.7%,9.3%,14.3%,21.6%,3.2%,5.9%,,,,,0.1%,1.0%
E14001362,Mid Derbyshire,labour,conservative,conservative,29.9%,42.7%,6.4%,16.3%,4.4%,,,0.3%,25.3%,34.0%,38.0%,48.0%,3.8%,9.8%,13.3%,19.9%,3.1%,6.0%,,,,,0.1%,1.1%
E14001363,Mid Dorset and North Poole,libdem,conservative,conservative,39.2%,13.7%,41.4%,0.0%,5.5%,,,0.2%,34.1%,44.6%,7.8%,19.0%,34.4%,49.0%,0.0%,0.0%,3.7%,7.8%,,,,,0.0%,0.7%
E14001364,Mid Leicestershire,conservative,labour,conservative,35.2%,34.6%,8.1%,16.7%,5.4%,,,0.0%,29.9%,39.3%,29.7%,40.5%,4.9%,12.1%,12.6%,21.3%,3.7%,7.3%,,,,,0.0%,0.0%
E14001365,Mid Norfolk,labour,conservative,conservative,31.4%,34.9%,8.3%,22.1%,3.3%,,,0.0%,26.9%,35.8%,29.2%,40.5%,5.3%,11.3%,17.8%,26.9%,2.4%,4.8%,,,,,0.0%,0.0%
E14001366,Mid Sussex,libdem,conservative,conservative,27.7%,23.0%,30.8%,13.0%,5.2%,,,0.3%,23.6%,31.7%,17.6%,28.3%,25.3%,36.4%,9.8%,16.0%,3.8%,7.6%,,,,,0.1%,1.1%
E14001367,Middlesbrough and Thornaby East,labour,brexit_party,labour,8.0%,63.0%,2.9%,20.6%,4.7%,,,0.8%,6.1%,10.2%,58.0%,66.7%,1.8%,4.9%,17.1%,24.7%,3.1%,6.9%,,,,,0.1%,3.0%
E14001368,Middlesbrough South and East Cleveland,labour,conservative,conservative,33.2%,56.8%,5.1%,0.0%,4.5%,,,0.4%,28.1%,37.8%,51.3%,61.6%,3.0%,8.1%,0.0%,0.0%,2.9%,6.4%,,,,,0.1%,1.4%
E14001369,Milton Keynes Central,labour,conservative,conservative,22.6%,54.4%,7.7%,11.2%,3.9%,,,0.3%,19.1%,25.8%,49.7%,58.8%,5.1%,11.6%,8.4%,14.1%,2.8%,5.3%,,,,,0.1%,1.2%
E14001370,Milton Keynes North,labour,conservative,conservative,24.9%,47.2%,7.2%,15.7%,4.9%,,,0.0%,21.1%,28.9%,41.5%,52.3%,4.8%,11.0%,12.0%,20.2%,3.5%,7.5%,,,,,0.0%,0.0%
E14001371,Mitcham and Morden,labour,conservative,labour,13.1%,64.7%,6.1%,10.6%,5.1%,,,0.4%,10.6%,15.4%,59.8%,68.8%,3.7%,9.2%,8.5%,12.9%,3.7%,7.1%,,,,,0.1%,1.5%
E14001372,Morecambe and Lunesdale,labour,conservative,conservative,28.6%,37.4%,12.1%,17.8%,4.2%,,,0.0%,24.4%,32.2%,31.4%,42.8%,8.4%,17.6%,14.2%,21.9%,3.0%,6.1%,,,,,0.0%,0.0%
E14001373,New Forest East,conservative,brexit_party,conservative,35.6%,21.5%,11.9%,25.2%,5.6%,,,0.3%,30.6%,39.8%,16.6%,27.1%,7.9%,16.0%,20.4%,30.6%,3.7%,7.8%,,,,,0.1%,1.0%
E14001374,New Forest West,conservative,labour,conservative,35.5%,25.6%,11.4%,20.9%,6.4%,,,0.2%,30.8%,40.1%,19.1%,31.2%,7.5%,15.8%,15.8%,26.3%,4.1%,8.8%,,,,,0.0%,0.9%
E14001375,Newark,conservative,labour,conservative,33.5%,32.0%,7.5%,21.4%,5.1%,,,0.5%,28.2%,37.5%,26.5%,38.0%,4.9%,11.6%,17.1%,26.6%,3.7%,7.3%,,,,,0.1%,2.8%
E14001376,Newbury,libdem,conservative,conservative,28.6%,9.8%,42.5%,13.9%,5.0%,,,0.2%,24.7%,33.1%,5.2%,15.4%,36.4%,48.3%,10.5%,17.5%,3.5%,7.2%,,,,,0.0%,0.9%
E14001377,Newcastle upon Tyne Central and West,labour,brexit_party,labour,13.3%,59.4%,3.7%,16.6%,6.0%,,,0.9%,10.5%,16.2%,54.5%,63.3%,2.3%,6.0%,13.8%,19.6%,4.1%,8.2%,,,,,0.3%,2.6%
E14001378,Newcastle upon Tyne East and Wallsend,labour,brexit_party,labour,10.4%,62.9%,4.9%,14.0%,7.5%,,,0.3%,8.0%,12.7%,58.7%,66.5%,3.0%,7.5%,11.0%,17.0%,5.2%,10.2%,,,,,0.1%,1.3%
E14001379,Newcastle upon Tyne North,labour,conservative,labour,18.5%,48.5%,13.0%,13.3%,6.2%,,,0.5%,15.2%,22.1%,42.8%,53.0%,8.6%,17.9%,10.3%,16.4%,4.4%,8.8%,,,,,0.1%,1.7%
E14001380,Newcastle-under-Lyme,labour,conservative,conservative,27.5%,42.2%,5.5%,19.9%,4.8%,,,0.0%,23.4%,31.4%,36.9%,46.9%,3.7%,8.6%,16.5%,24.5%,3.5%,7.0%,,,,,0.0%,0.0%
E14001381,Newton Abbot,conservative,labour,conservative,29.2%,23.9%,20.3%,20.4%,5.2%,,,1.0%,24.6%,32.4%,18.3%,29.3%,15.5%,25.0%,16.3%,25.7%,3.7%,7.7%,,,,,0.3%,2.9%
E14001382,Newton Aycliffe and Spennymoor,labour,brexit_party,conservative,21.7%,44.3%,4.1%,24.7%,4.7%,,,0.5%,18.5%,25.8%,38.5%,48.9%,2.7%,6.0%,20.0%,29.2%,3.3%,7.1%,,,,,0.1%,1.7%
E14001383,Normanton and Hemsworth,labour,brexit_party,labour,12.9%,51.2%,3.5%,28.2%,4.2%,,,0.0%,10.4%,15.7%,46.2%,55.5%,2.2%,5.6%,24.4%,32.0%,2.8%,5.9%,,,,,0.0%,0.0%
E14001384,North Bedfordshire,labour,conservative,conservative,32.1%,35.8%,10.8%,16.6%,4.8%,,,0.0%,27.4%,36.1%,30.3%,41.3%,7.4%,13.9%,13.1%,20.7%,3.2%,6.9%,,,,,0.0%,0.0%
E14001385,North Cornwall,libdem,conservative,conservative,30.6%,8.6%,36.8%,20.2%,3.5%,,,0.2%,27.2%,35.0%,4.1%,13.4%,30.4%,42.7%,15.9%,24.7%,2.3%,5.3%,,,,,0.0%,1.1%
E14001386,North Cotswolds,conservative,labour,conservative,32.9%,26.2%,16.2%,18.3%,6.2%,,,0.3%,28.1%,37.7%,19.4%,32.3%,11.7%,22.1%,14.1%,22.9%,4.6%,8.7%,,,,,0.1%,1.2%
E14001387,North Devon,libdem,conservative,conservative,31.8%,8.5%,34.3%,20.1%,5.0%,,,0.2%,27.6%,36.2%,4.8%,14.1%,28.6%,39.1%,15.3%,24.0%,3.4%,7.3%,,,,,0.0%,1.0%
E14001388,North Dorset,conservative,libdem,conservative,33.3%,15.1%,29.7%,17.4%,4.3%,,,0.2%,28.1%,36.8%,10.6%,20.9%,23.9%,36.3%,13.6%,21.5%,3.0%,6.1%,,,,,0.0%,0.6%
E14001389,North Durham,labour,brexit_party,labour,13.6%,51.8%,6.5%,22.1%,5.5%,,,0.5%,11.2%,16.7%,46.7%,56.1%,4.0%,9.3%,18.2%,26.2%,3.7%,7.6%,,,,,0.1%,1.8%
E14001390,North East Cambridgeshire,conservative,labour,conservative,36.3%,29.9%,7.6%,21.3%,4.8%,,,0.2%,31.8%,41.6%,24.1%,35.3%,4.5%,10.7%,16.2%,26.1%,3.4%,6.7%,,,,,0.0%,0.8%
E14001391,North East Derbyshire,labour,conservative,conservative,27.3%,44.1%,6.0%,18.5%,3.9%,,,0.3%,23.6%,30.6%,38.2%,48.9%,3.9%,8.9%,14.4%,22.9%,2.8%,5.5%,,,,,0.1%,1.0%
E14001392,North East Hampshire,conservative,libdem,conservative,40.4%,18.0%,22.0%,14.9%,4.3%,,,0.3%,35.1%,46.8%,11.6%,24.4%,15.1%,27.5%,11.1%,19.5%,2.9%,6.5%,,,,,0.1%,1.4%
E14001393,North East Hertfordshire,labour,conservative,conservative,30.6%,37.2%,11.7%,15.0%,5.5%,,,0.0%,26.4%,35.1%,31.7%,43.2%,7.9%,16.3%,11.5%,18.9%,3.7%,7.8%,,,,,0.0%,0.0%
E14001394,North East Somerset and Hanham,labour,conservative,conservative,28.1%,39.8%,12.7%,15.2%,3.8%,,,0.3%,24.2%,31.6%,34.6%,44.9%,9.2%,17.2%,11.7%,19.6%,2.6%,5.4%,,,,,0.1%,1.3%
E14001395,North Herefordshire,conservative,brexit_party,conservative,36.5%,19.8%,10.2%,22.3%,11.1%,,,0.2%,31.0%,42.2%,14.0%,25.5%,6.5%,14.7%,16.3%,27.4%,8.1%,15.1%,,,,,0.1%,1.2%
E14001396,North Norfolk,libdem,conservative,conservative,32.2%,8.7%,34.2%,22.0%,2.9%,,,0.0%,27.3%,36.9%,3.5%,13.6%,28.2%,41.9%,17.8%,26.3%,2.1%,4.4%,,,,,0.0%,0.0%
E14001397,North Northumberland,labour,conservative,conservative,27.8%,34.1%,10.3%,21.2%,5.4%,,,1.2%,23.9%,32.3%,28.7%,39.2%,6.3%,14.5%,16.9%,26.5%,3.6%,7.6%,,,,,0.3%,3.6%
E14001398,North Shropshire,conservative,libdem,conservative,31.3%,18.3%,23.0%,22.7%,4.5%,,,0.2%,26.3%,35.8%,12.4%,22.9%,17.5%,28.9%,18.3%,28.5%,3.1%,6.2%,,,,,0.0%,0.8%
E14001399,North Somerset,labour,conservative,conservative,26.6%,41.2%,11.7%,14.6%,5.6%,,,0.3%,22.7%,30.7%,35.6%,46.2%,8.4%,15.5%,10.7%,18.6%,3.9%,8.0%,,,,,0.1%,1.0%
E14001400,North Warwickshire and Bedworth,labour,conservative,conservative,32.6%,37.9%,5.1%,20.2%,4.3%,,,0.0%,28.4%,36.7%,32.5%,42.6%,3.3%,7.7%,16.6%,24.4%,3.0%,6.1%,,,,,0.0%,0.0%
E14001401,North West Cambridgeshire,conservative,labour,conservative,32.2%,29.4%,10.9%,19.9%,7.7%,,,0.0%,27.8%,35.9%,24.0%,34.2%,7.8%,15.1%,15.7%,23.4%,5.7%,10.1%,,,,,0.0%,0.0%
E14001402,North West Essex,conservative,labour,conservative,33.8%,30.2%,14.1%,16.2%,5.5%,,,0.2%,29.3%,38.7%,23.4%,36.1%,9.7%,19.3%,12.4%,19.9%,3.9%,7.4%,,,,,0.0%,0.8%
E14001403,North West Hampshire,conservative,labour,conservative,33.7%,29.8%,15.5%,15.7%,5.1%,,,0.2%,28.9%,37.6%,24.8%,36.1%,10.2%,21.3%,12.0%,20.0%,3.6%,7.2%,,,,,0.1%,1.0%
E14001404,North West Leicestershire,labour,conservative,conservative,29.7%,39.8%,6.3%,18.3%,5.5%,,,0.2%,25.5%,34.1%,34.5%,44.1%,4.2%,9.4%,14.4%,21.9%,4.0%,7.8%,,,,,0.1%,0.9%
