ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,,Margin,,CON (lo),CON (hi),LAB (lo),LAB (hi),LDM (lo),LDM (hi),RFM (lo),RFM (hi),GRN (lo),GRN (hi),SNP (lo),SNP (hi),PCY (lo),PCY (hi),OTH (lo),OTH (hi)
E14001258,Guildford,Liberal Democrats,Conservatives,Conservatives,27.42%,12.30%,43.70%,12.07%,3.98%,,,0.54%,,16.3%,,23.9%,31.2%,7.2%,18.3%,38.1%,49.1%,9.3%,15.6%,2.6%,6.3%,0.0%,0.0%,,,0.1%,1.9%
E14001259,Hackney North and Stoke Newington,Labour,Green Party,Labour,7.28%,71.52%,4.97%,6.61%,8.62%,,,0.99%,,62.9%,,5.4%,9.7%,66.9%,75.4%,2.7%,8.0%,4.9%,8.6%,6.0%,11.9%,0.0%,0.0%,,,0.2%,3.4%
E14001260,Hackney South and Shoreditch,Labour,Liberal Democrats,Labour,5.07%,72.45%,8.51%,5.85%,6.62%,,,1.48%,,63.9%,,3.1%,6.7%,67.7%,76.4%,5.3%,12.4%,4.3%,7.8%,4.2%,9.9%,0.0%,0.0%,,,0.4%,4.4%
E14001261,Halesowen,Labour,Conservatives,Conservatives,31.35%,40.75%,3.68%,19.49%,4.74%,,,0.00%,,9.4%,,27.6%,35.4%,35.7%,45.1%,2.2%,6.6%,16.0%,23.9%,3.0%,7.0%,0.0%,0.0%,,,0.0%,0.0%
E14001262,Halifax,Labour,Conservatives,Labour,22.93%,46.54%,6.08%,18.12%,5.75%,,,0.58%,,23.6%,,19.4%,26.0%,41.2%,50.6%,3.5%,9.3%,14.7%,22.6%,3.6%,8.3%,0.0%,0.0%,,,0.1%,2.0%
E14001263,Hamble Valley,Conservatives,Labour,Conservatives,35.00%,22.83%,17.28%,19.72%,4.83%,,,0.33%,,12.2%,,30.3%,40.6%,17.9%,27.8%,11.9%,22.3%,14.8%,24.6%,3.1%,7.8%,0.0%,0.0%,,,0.1%,1.3%
E14001264,Hammersmith and Chiswick,Labour,Conservatives,Labour,18.41%,58.56%,8.06%,7.92%,6.35%,,,0.69%,,40.2%,,15.5%,21.5%,52.9%,63.6%,4.7%,12.9%,5.8%,10.1%,3.6%,10.1%,0.0%,0.0%,,,0.1%,2.3%
E14001265,Hampstead and Highgate,Labour,Liberal Democrats,Labour,13.52%,57.97%,13.65%,6.25%,7.90%,,,0.71%,,44.3%,,10.9%,16.1%,51.8%,62.6%,8.5%,19.4%,4.7%,8.3%,4.6%,12.1%,0.0%,0.0%,,,0.1%,2.5%
E14001266,"Harborough, Oadby and Wigston",Labour,Conservatives,Conservatives,31.27%,38.35%,11.49%,14.84%,3.55%,,,0.50%,,7.1%,,27.1%,35.7%,32.2%,43.1%,7.6%,16.3%,11.2%,18.7%,2.4%,5.6%,0.0%,0.0%,,,0.1%,2.0%
E14001267,Harlow,Labour,Conservatives,Conservatives,29.78%,39.09%,5.46%,19.86%,5.56%,,,0.26%,,9.3%,,26.2%,33.7%,34.0%,43.2%,3.2%,9.0%,16.0%,24.1%,3.5%,8.3%,0.0%,0.0%,,,0.0%,1.1%
E14001268,Harpenden and Berkhamsted,Liberal Democrats,Conservatives,Conservatives,31.78%,11.29%,39.16%,13.60%,3.57%,,,0.59%,,7.4%,,27.3%,36.8%,7.0%,16.8%,31.8%,44.4%,9.8%,17.7%,2.3%,5.9%,0.0%,0.0%,,,0.1%,2.2%
E14001269,Harrogate and Knaresborough,Liberal Democrats,Conservatives,Conservatives,31.84%,7.51%,43.94%,13.21%,3.21%,,,0.29%,,12.1%,,27.8%,35.5%,3.3%,12.5%,38.7%,49.2%,9.7%,16.4%,2.1%,5.1%,0.0%,0.0%,,,0.1%,1.3%
E14001270,Harrow East,Labour,Conservatives,Conservatives,34.24%,44.59%,5.61%,10.78%,3.84%,,,0.94%,,10.4%,,30.3%,38.2%,38.7%,49.3%,3.0%,8.8%,7.7%,13.9%,2.4%,6.2%,0.0%,0.0%,,,0.2%,3.4%
E14001271,Harrow West,Labour,Conservatives,Labour,21.48%,57.06%,6.81%,8.63%,4.94%,,,1.08%,,35.6%,,18.2%,24.5%,51.6%,61.3%,4.1%,10.8%,6.5%,10.7%,3.0%,7.3%,0.0%,0.0%,,,0.3%,3.5%
E14001272,Hartlepool,Labour,Reform UK,Labour,12.07%,48.22%,3.06%,32.05%,3.25%,,,1.36%,,16.2%,,9.8%,14.5%,43.9%,52.3%,1.7%,4.8%,28.1%,35.4%,2.2%,5.1%,0.0%,0.0%,,,0.4%,3.5%
E14001273,Harwich and North Essex,Labour,Conservatives,Conservatives,31.36%,40.36%,6.30%,16.86%,5.12%,,,0.00%,,9.0%,,27.6%,35.1%,35.4%,45.1%,3.9%,9.8%,13.2%,20.4%,3.1%,7.5%,0.0%,0.0%,,,0.0%,0.0%
E14001274,Hastings and Rye,Labour,Conservatives,Conservatives,23.41%,49.21%,6.37%,15.37%,4.78%,,,0.86%,,25.8%,,20.1%,26.5%,44.5%,53.2%,3.8%,9.2%,12.2%,18.7%,3.0%,7.9%,0.0%,0.0%,,,0.3%,2.8%
E14001275,Havant,Conservatives,Labour,Conservatives,33.72%,25.47%,10.49%,23.51%,5.80%,,,1.01%,,8.3%,,29.4%,38.2%,19.7%,31.2%,6.8%,15.4%,18.8%,28.6%,3.8%,8.8%,0.0%,0.0%,,,0.2%,2.9%
E14001276,Hayes and Harlington,Labour,Conservatives,Labour,17.40%,57.00%,6.07%,11.67%,6.18%,,,1.68%,,39.6%,,14.8%,20.3%,51.9%,61.1%,3.6%,8.9%,9.0%,14.3%,3.8%,9.7%,0.0%,0.0%,,,0.6%,4.7%
E14001277,Hazel Grove,Liberal Democrats,Conservatives,Conservatives,25.57%,16.91%,37.36%,17.12%,2.69%,,,0.35%,,11.8%,,22.1%,29.1%,12.3%,22.0%,31.2%,42.7%,13.0%,20.7%,1.9%,4.2%,0.0%,0.0%,,,0.1%,1.1%
E14001278,Hemel Hempstead,Labour,Conservatives,Conservatives,27.23%,43.28%,8.23%,17.22%,4.04%,,,0.00%,,16.1%,,23.4%,31.9%,37.4%,49.1%,4.7%,13.2%,13.4%,21.0%,2.7%,6.2%,0.0%,0.0%,,,0.0%,0.0%
E14001279,Hendon,Labour,Conservatives,Conservatives,28.95%,48.70%,5.90%,11.41%,4.22%,,,0.82%,,19.7%,,25.3%,32.4%,43.6%,53.3%,3.2%,8.5%,8.5%,15.1%,2.7%,6.6%,0.0%,0.0%,,,0.2%,2.3%
E14001280,Henley and Thame,Liberal Democrats,Conservatives,Conservatives,30.57%,5.52%,49.27%,10.79%,3.64%,,,0.22%,,18.7%,,26.8%,34.4%,2.0%,9.3%,43.9%,54.5%,8.4%,13.8%,2.5%,5.2%,0.0%,0.0%,,,0.1%,1.0%
E14001281,Hereford and South Herefordshire,Labour,Conservatives,Conservatives,30.75%,35.49%,7.06%,20.70%,5.69%,,,0.32%,,4.7%,,27.1%,34.9%,29.9%,40.1%,4.7%,9.9%,16.8%,24.8%,3.9%,8.1%,0.0%,0.0%,,,0.1%,1.0%
E14001282,Herne Bay and Sandwich,Conservatives,Labour,Conservatives,36.52%,29.72%,8.38%,20.81%,4.57%,,,0.00%,,6.8%,,32.9%,40.0%,25.3%,34.0%,6.2%,11.7%,16.6%,24.2%,3.2%,6.4%,0.0%,0.0%,,,0.0%,0.0%
E14001283,Hertford and Stortford,Labour,Conservatives,Conservatives,31.20%,36.12%,11.28%,15.36%,5.57%,,,0.47%,,4.9%,,25.4%,35.0%,30.2%,43.1%,7.5%,16.6%,11.4%,19.3%,3.5%,8.6%,0.0%,0.0%,,,0.1%,1.5%
E14001284,Hertsmere,Conservatives,Labour,Conservatives,39.11%,30.52%,7.67%,17.78%,4.56%,,,0.36%,,8.6%,,34.7%,43.3%,25.2%,35.8%,4.8%,10.9%,13.6%,22.4%,3.0%,7.1%,0.0%,0.0%,,,0.1%,1.5%
E14001285,Hexham,Labour,Conservatives,Conservatives,32.82%,54.46%,7.82%,0.00%,4.47%,,,0.42%,,21.6%,,28.7%,37.1%,49.6%,59.4%,4.8%,11.1%,0.0%,0.0%,2.7%,6.7%,0.0%,0.0%,,,0.1%,1.7%
E14001286,Heywood and Middleton North,Labour,Reform UK,Labour,18.83%,55.52%,3.38%,21.53%,0.00%,,,0.73%,,34.0%,,16.0%,21.5%,50.9%,60.2%,2.0%,6.1%,17.7%,25.5%,0.0%,0.0%,0.0%,0.0%,,,0.2%,2.6%
E14001287,High Peak,Labour,Conservatives,Conservatives,22.51%,50.87%,4.94%,15.97%,5.71%,,,0.00%,,28.4%,,18.7%,25.9%,46.1%,55.4%,3.0%,8.2%,12.9%,20.0%,3.3%,8.9%,0.0%,0.0%,,,0.0%,0.0%
E14001288,Hinckley and Bosworth,Conservatives,Labour,Conservatives,32.97%,23.03%,18.99%,19.93%,4.71%,,,0.37%,,9.9%,,29.0%,36.9%,18.3%,27.4%,14.0%,23.8%,16.1%,23.7%,3.2%,7.4%,0.0%,0.0%,,,0.1%,1.3%
E14001289,Hitchin,Labour,Conservatives,Conservatives,23.73%,40.42%,18.09%,11.92%,5.42%,,,0.41%,,16.7%,,20.2%,27.2%,35.6%,45.3%,13.6%,21.9%,9.1%,14.9%,3.7%,8.5%,0.0%,0.0%,,,0.1%,1.4%
E14001290,Holborn and St Pancras,Labour,Conservatives,Labour,9.28%,64.48%,7.72%,8.26%,8.78%,,,1.47%,,55.2%,,6.8%,11.5%,59.6%,68.4%,4.9%,11.5%,6.6%,10.3%,5.9%,12.6%,0.0%,0.0%,,,0.5%,3.9%
E14001291,Honiton and Sidmouth,Conservatives,Liberal Democrats,Conservatives,36.87%,10.42%,29.12%,19.74%,3.16%,,,0.70%,,7.8%,,32.5%,41.1%,6.4%,14.5%,22.8%,34.0%,16.1%,24.5%,2.1%,4.9%,0.0%,0.0%,,,0.2%,2.4%
E14001292,Hornchurch and Upminster,Conservatives,Labour,Conservatives,35.78%,31.98%,8.84%,18.73%,4.30%,,,0.37%,,3.8%,,31.6%,39.6%,27.4%,36.4%,6.1%,12.6%,15.5%,22.8%,2.7%,6.3%,0.0%,0.0%,,,0.1%,1.1%
E14001293,Hornsey and Friern Barnet,Labour,Liberal Democrats,Labour,6.68%,66.59%,13.76%,4.98%,7.22%,,,0.78%,,52.8%,,4.3%,9.1%,60.2%,72.4%,8.4%,19.0%,3.6%,6.7%,4.3%,11.7%,0.0%,0.0%,,,0.2%,2.5%
E14001294,Horsham,Conservatives,Liberal Democrats,Conservatives,34.42%,17.97%,25.55%,16.20%,5.53%,,,0.33%,,8.9%,,29.4%,38.3%,13.9%,22.9%,20.6%,30.5%,12.9%,20.5%,3.5%,7.9%,0.0%,0.0%,,,0.1%,1.2%
E14001295,Houghton and Sunderland South,Labour,Reform UK,Labour,12.85%,51.80%,4.08%,27.20%,4.07%,,,0.00%,,24.6%,,10.6%,15.2%,47.3%,55.9%,2.6%,6.6%,23.7%,30.9%,2.5%,6.0%,0.0%,0.0%,,,0.0%,0.0%
E14001296,Hove and Portslade,Labour,Conservatives,Labour,16.28%,60.88%,6.78%,8.95%,6.57%,,,0.54%,,44.6%,,13.6%,18.6%,56.2%,64.4%,4.4%,10.0%,6.8%,11.4%,4.2%,9.6%,0.0%,0.0%,,,0.1%,1.5%
E14001297,Huddersfield,Labour,Conservatives,Labour,16.99%,55.96%,5.37%,14.20%,7.49%,,,0.00%,,39.0%,,14.5%,19.5%,50.5%,60.2%,3.2%,9.0%,11.6%,17.1%,5.1%,11.3%,0.0%,0.0%,,,0.0%,0.0%
E14001298,Huntingdon,Labour,Conservatives,Conservatives,29.63%,37.78%,11.11%,15.15%,4.79%,,,1.55%,,8.1%,,25.2%,33.0%,31.9%,43.6%,7.2%,15.5%,11.7%,19.2%,3.0%,7.3%,0.0%,0.0%,,,0.5%,4.5%
E14001299,Hyndburn,Labour,Conservatives,Conservatives,24.42%,45.71%,4.40%,21.09%,4.38%,,,0.00%,,21.3%,,21.0%,27.0%,41.1%,50.5%,2.7%,7.1%,17.7%,25.0%,2.8%,6.9%,0.0%,0.0%,,,0.0%,0.0%
E14001300,Ilford North,Labour,Conservatives,Labour,20.51%,56.66%,5.07%,10.71%,3.86%,,,3.19%,,36.1%,,17.0%,23.8%,51.2%,60.6%,2.8%,8.2%,8.1%,13.4%,2.4%,6.3%,0.0%,0.0%,,,0.9%,7.1%
E14001301,Ilford South,Labour,Conservatives,Labour,11.79%,64.32%,3.84%,8.22%,7.29%,,,4.54%,,52.5%,,9.5%,14.4%,57.7%,68.3%,2.2%,6.4%,6.3%,10.6%,4.7%,11.0%,0.0%,0.0%,,,1.6%,9.7%
E14001302,Ipswich,Labour,Conservatives,Conservatives,25.04%,47.38%,4.71%,16.99%,5.51%,,,0.37%,,22.3%,,21.8%,27.7%,43.2%,51.3%,3.1%,7.6%,14.2%,20.1%,3.7%,8.1%,0.0%,0.0%,,,0.1%,1.3%
E14001303,Isle of Wight East,Labour,Conservatives,Conservatives,29.11%,33.45%,5.17%,21.22%,10.42%,,,0.64%,,4.3%,,25.2%,32.8%,28.0%,39.0%,2.8%,8.4%,16.7%,26.3%,7.5%,14.9%,0.0%,0.0%,,,0.1%,2.4%
E14001304,Isle of Wight West,Labour,Conservatives,Conservatives,27.10%,38.30%,3.53%,21.57%,8.85%,,,0.65%,,11.2%,,23.4%,30.7%,32.8%,43.1%,2.2%,6.2%,17.4%,26.2%,5.7%,11.7%,0.0%,0.0%,,,0.1%,2.5%
E14001305,Islington North,Labour,Other,Labour,5.79%,64.37%,6.55%,5.62%,7.23%,,,10.44%,,53.9%,,3.9%,8.2%,57.3%,69.8%,3.9%,10.9%,4.3%,7.1%,4.3%,10.6%,0.0%,0.0%,,,4.3%,18.6%
E14001306,Islington South and Finsbury,Labour,Conservatives,Labour,10.66%,62.16%,8.76%,9.39%,7.96%,,,1.06%,,51.5%,,8.5%,12.8%,56.9%,66.1%,5.7%,12.2%,7.2%,11.6%,5.1%,11.9%,0.0%,0.0%,,,0.2%,3.3%
E14001307,Jarrow and Gateshead East,Labour,Reform UK,Labour,9.51%,52.88%,3.00%,27.69%,6.29%,,,0.64%,,25.2%,,7.8%,11.5%,48.8%,56.6%,1.7%,4.9%,24.1%,30.8%,4.1%,8.9%,0.0%,0.0%,,,0.2%,2.2%
E14001308,Keighley and Ilkley,Labour,Conservatives,Conservatives,27.02%,47.76%,4.63%,16.75%,3.37%,,,0.46%,,20.7%,,23.6%,30.4%,42.4%,52.4%,2.7%,7.6%,13.0%,21.3%,2.1%,5.5%,0.0%,0.0%,,,0.1%,1.4%
E14001309,Kenilworth and Southam,Conservatives,Labour,Conservatives,32.81%,23.66%,21.73%,15.68%,5.88%,,,0.25%,,9.2%,,29.1%,36.1%,18.7%,27.8%,17.2%,26.0%,12.5%,19.3%,4.2%,8.3%,0.0%,0.0%,,,0.1%,0.8%
E14001310,Kensington and Bayswater,Labour,Conservatives,Labour,24.21%,47.41%,9.93%,11.39%,6.29%,,,0.76%,,23.2%,,20.6%,28.1%,40.8%,52.2%,5.6%,14.7%,8.5%,14.7%,4.3%,9.3%,0.0%,0.0%,,,0.1%,2.4%
E14001311,Kettering,Labour,Conservatives,Conservatives,29.10%,42.44%,4.28%,19.62%,4.19%,,,0.37%,,13.3%,,25.3%,33.1%,36.9%,46.8%,2.5%,6.7%,15.4%,24.2%,2.6%,5.9%,0.0%,0.0%,,,0.1%,1.4%
E14001312,Kingston and Surbiton,Liberal Democrats,Conservatives,Liberal Democrats,19.96%,12.26%,52.74%,10.45%,4.12%,,,0.46%,,32.8%,,16.8%,23.4%,8.2%,17.6%,47.2%,57.2%,8.0%,13.3%,2.6%,6.5%,0.0%,0.0%,,,0.1%,1.7%
E14001313,Kingston upon Hull East,Labour,Reform UK,Labour,16.46%,45.03%,6.38%,27.74%,4.38%,,,0.00%,,17.3%,,13.6%,19.5%,40.2%,49.1%,4.1%,9.4%,23.6%,32.0%,3.1%,6.9%,0.0%,0.0%,,,0.0%,0.0%
E14001314,Kingston upon Hull North and Cottingham,Labour,Reform UK,Labour,15.32%,49.26%,6.18%,22.92%,5.99%,,,0.34%,,26.3%,,12.3%,17.9%,44.3%,53.9%,3.5%,9.8%,19.0%,27.0%,4.0%,8.9%,0.0%,0.0%,,,0.1%,1.3%
E14001315,Kingston upon Hull West and Haltemprice,Labour,Reform UK,Conservatives,18.50%,46.97%,7.49%,23.19%,3.28%,,,0.58%,,23.8%,,15.7%,21.0%,42.6%,51.0%,5.0%,10.5%,20.3%,27.2%,2.2%,4.9%,0.0%,0.0%,,,0.1%,1.6%
E14001316,Kingswinford and South Staffordshire,Conservatives,Labour,Conservatives,35.89%,27.34%,5.93%,25.08%,4.35%,,,1.42%,,8.5%,,31.9%,40.5%,22.5%,32.2%,3.8%,8.5%,20.9%,29.3%,3.0%,6.1%,0.0%,0.0%,,,0.5%,3.3%
E14001317,Knowsley,Labour,Reform UK,Labour,1.33%,77.80%,2.74%,13.30%,4.36%,,,0.46%,,64.5%,,0.7%,2.9%,72.7%,80.7%,1.6%,5.1%,10.7%,16.3%,2.6%,7.1%,0.0%,0.0%,,,0.1%,1.6%
E14001318,Lancaster and Wyre,Labour,Conservatives,Conservatives,23.45%,45.97%,4.24%,16.30%,10.05%,,,0.00%,,22.5%,,19.6%,26.5%,41.0%,50.7%,2.4%,7.4%,12.5%,19.7%,6.7%,14.6%,0.0%,0.0%,,,0.0%,0.0%
E14001319,Leeds Central and Headingley,Labour,Green Party,Labour,9.06%,58.87%,9.77%,10.66%,11.16%,,,0.49%,,47.7%,,7.2%,11.7%,54.0%,63.3%,6.7%,13.7%,8.4%,13.4%,7.7%,14.3%,0.0%,0.0%,,,0.1%,1.8%
E14001320,Leeds East,Labour,Conservatives,Labour,23.40%,48.53%,4.25%,18.16%,4.47%,,,1.19%,,25.1%,,20.0%,26.4%,44.5%,52.5%,2.5%,6.9%,14.7%,21.3%,2.8%,6.9%,0.0%,0.0%,,,0.3%,3.8%
E14001321,Leeds North East,Labour,Conservatives,Labour,11.49%,63.02%,6.45%,11.04%,7.35%,,,0.66%,,51.5%,,9.0%,13.5%,58.4%,67.3%,3.9%,9.7%,8.5%,13.5%,4.7%,11.4%,0.0%,0.0%,,,0.2%,2.1%
E14001322,Leeds North West,Labour,Conservatives,Conservatives,26.17%,43.88%,9.23%,12.53%,7.43%,,,0.75%,,17.7%,,22.4%,29.5%,38.5%,49.0%,5.9%,13.4%,9.4%,15.6%,4.9%,10.5%,0.0%,0.0%,,,0.2%,2.5%
E14001323,Leeds South,Labour,Conservatives,Labour,13.94%,68.84%,4.43%,0.00%,8.81%,,,3.98%,,54.9%,,11.0%,17.0%,63.0%,73.2%,2.6%,7.4%,0.0%,0.0%,5.8%,12.6%,0.0%,0.0%,,,1.5%,8.3%
E14001324,Leeds South West and Morley,Labour,Conservatives,Conservatives,23.50%,46.05%,4.32%,22.19%,3.59%,,,0.35%,,22.5%,,19.9%,26.8%,40.9%,50.6%,2.4%,7.1%,17.7%,26.6%,2.3%,6.1%,0.0%,0.0%,,,0.1%,1.5%
E14001325,Leeds West and Pudsey,Labour,Conservatives,Labour,22.73%,50.28%,5.20%,16.50%,4.69%,,,0.60%,,27.5%,,19.2%,25.8%,45.7%,55.0%,3.4%,8.2%,13.0%,20.6%,3.0%,7.7%,0.0%,0.0%,,,0.1%,2.1%
E14001326,Leicester East,Labour,Conservatives,Labour,23.32%,51.48%,5.52%,10.81%,4.88%,,,3.99%,,28.2%,,19.7%,26.7%,45.4%,55.5%,3.5%,9.2%,8.2%,13.9%,3.0%,7.5%,0.0%,0.0%,,,1.3%,9.6%
E14001327,Leicester South,Labour,Conservatives,Labour,10.48%,65.40%,3.88%,8.92%,8.75%,,,2.56%,,54.9%,,8.4%,13.5%,60.4%,69.6%,2.2%,6.4%,7.0%,11.0%,5.3%,11.9%,0.0%,0.0%,,,0.9%,6.3%
E14001328,Leicester West,Labour,Conservatives,Labour,19.31%,57.65%,4.58%,12.37%,4.90%,,,1.19%,,38.3%,,16.2%,22.3%,52.7%,62.2%,2.7%,6.8%,9.8%,15.5%,3.2%,7.3%,0.0%,0.0%,,,0.3%,3.4%
E14001329,Leigh and Atherton,Labour,Reform UK,Conservatives,17.74%,55.18%,3.03%,20.06%,3.16%,,,0.83%,,35.1%,,14.5%,20.3%,50.7%,59.2%,1.9%,5.1%,16.3%,24.3%,2.1%,4.7%,0.0%,0.0%,,,0.2%,2.6%
E14001330,Lewes,Liberal Democrats,Conservatives,Conservatives,27.39%,2.57%,49.19%,16.61%,3.93%,,,0.30%,,21.8%,,23.7%,30.3%,1.0%,6.4%,43.8%,53.2%,13.5%,20.2%,2.6%,6.0%,0.0%,0.0%,,,0.1%,1.3%
E14001331,Lewisham East,Labour,Conservatives,Labour,11.59%,67.38%,5.23%,9.17%,5.84%,,,0.78%,,55.8%,,8.7%,14.2%,62.8%,71.0%,3.0%,8.1%,7.4%,11.7%,3.7%,9.2%,0.0%,0.0%,,,0.2%,3.0%
E14001332,Lewisham North,Labour,Green Party,Labour,6.78%,70.12%,6.88%,5.74%,9.16%,,,1.32%,,61.0%,,4.7%,9.2%,64.2%,74.1%,3.9%,10.7%,4.4%,7.4%,6.0%,13.2%,0.0%,0.0%,,,0.4%,3.8%
E14001333,Lewisham West and East Dulwich,Labour,Green Party,Labour,8.09%,63.72%,7.00%,6.53%,13.32%,,,1.34%,,50.4%,,5.9%,10.7%,58.2%,68.8%,4.1%,10.3%,5.0%,8.1%,9.6%,18.2%,0.0%,0.0%,,,0.4%,3.8%
E14001334,Leyton and Wanstead,Labour,Conservatives,Labour,10.78%,67.03%,7.46%,7.29%,6.63%,,,0.80%,,56.2%,,8.7%,13.1%,62.4%,70.8%,4.6%,11.2%,5.6%,9.5%,4.4%,9.4%,0.0%,0.0%,,,0.2%,3.0%
E14001335,Lichfield,Labour,Conservatives,Conservatives,33.91%,36.93%,6.60%,18.66%,3.65%,,,0.25%,,3.0%,,30.3%,37.3%,32.8%,40.9%,4.5%,9.2%,15.4%,22.1%,2.6%,5.2%,0.0%,0.0%,,,0.1%,0.7%
E14001336,Lincoln,Labour,Conservatives,Conservatives,23.18%,45.48%,5.86%,18.01%,7.13%,,,0.33%,,22.3%,,20.1%,26.4%,40.2%,49.9%,3.4%,9.2%,14.1%,22.1%,4.6%,11.1%,0.0%,0.0%,,,0.1%,1.1%
E14001337,Liverpool Garston,Labour,Reform UK,Labour,4.28%,70.48%,5.84%,12.35%,6.48%,,,0.57%,,58.1%,,2.1%,6.2%,65.5%,75.0%,3.5%,9.2%,9.9%,15.4%,4.0%,10.0%,0.0%,0.0%,,,0.1%,2.1%
E14001338,Liverpool Riverside,Labour,Reform UK,Labour,1.88%,79.49%,3.26%,8.07%,6.79%,,,0.50%,,71.4%,,0.7%,3.4%,75.2%,82.4%,2.0%,5.4%,6.2%,9.8%,4.4%,9.9%,0.0%,0.0%,,,0.1%,1.6%
E14001339,Liverpool Walton,Labour,Reform UK,Labour,2.15%,77.77%,3.78%,11.43%,4.31%,,,0.56%,,66.3%,,0.7%,3.6%,73.2%,80.9%,2.2%,6.3%,9.2%,14.5%,2.7%,7.1%,0.0%,0.0%,,,0.1%,2.1%
E14001340,Liverpool Wavertree,Labour,Green Party,Labour,3.84%,66.56%,5.15%,8.30%,15.20%,,,0.96%,,51.4%,,2.3%,5.9%,61.6%,70.2%,2.8%,8.1%,6.4%,10.4%,12.1%,19.7%,0.0%,0.0%,,,0.2%,3.1%
E14001341,Liverpool West Derby,Labour,Reform UK,Labour,2.53%,74.51%,4.16%,13.37%,4.46%,,,0.97%,,61.1%,,0.9%,4.3%,69.3%,77.4%,2.6%,7.0%,10.8%,16.4%,2.7%,7.5%,0.0%,0.0%,,,0.2%,3.0%
E14001342,Loughborough,Labour,Conservatives,Conservatives,30.58%,45.49%,6.26%,12.70%,4.97%,,,0.00%,,14.9%,,26.5%,35.1%,40.7%,50.0%,3.8%,10.0%,9.5%,16.1%,3.2%,7.0%,0.0%,0.0%,,,0.0%,0.0%
E14001343,Louth and Horncastle,Conservatives,Labour,Conservatives,34.58%,29.37%,5.14%,25.65%,3.80%,,,1.46%,,5.2%,,30.8%,38.0%,25.0%,33.7%,3.5%,7.3%,21.6%,29.7%,2.3%,5.6%,0.0%,0.0%,,,0.6%,2.9%
E14001344,Lowestoft,Labour,Conservatives,Conservatives,28.53%,39.67%,4.94%,21.29%,5.57%,,,0.00%,,11.1%,,25.1%,32.2%,34.0%,44.4%,3.0%,7.5%,17.1%,25.8%,3.8%,8.4%,0.0%,0.0%,,,0.0%,0.0%
E14001345,Luton North,Labour,Conservatives,Labour,19.12%,52.65%,4.26%,14.24%,7.47%,,,2.26%,,33.5%,,15.5%,22.2%,46.7%,57.3%,2.4%,7.2%,11.0%,18.2%,5.0%,11.3%,0.0%,0.0%,,,0.6%,6.2%
E14001346,Luton South and South Bedfordshire,Labour,Reform UK,Labour,16.45%,52.45%,6.13%,16.54%,7.25%,,,1.19%,,35.9%,,13.4%,19.3%,47.2%,56.8%,3.7%,10.1%,12.8%,20.1%,4.4%,11.0%,0.0%,0.0%,,,0.3%,3.7%
E14001347,Macclesfield,Labour,Conservatives,Conservatives,26.37%,44.16%,8.17%,14.85%,5.64%,,,0.80%,,17.8%,,22.3%,30.5%,38.1%,49.7%,4.8%,13.1%,11.0%,19.3%,3.5%,8.4%,0.0%,0.0%,,,0.2%,3.0%
E14001348,Maidenhead,Conservatives,Liberal Democrats,Conservatives,39.14%,16.88%,38.34%,0.00%,5.27%,,,0.36%,,0.8%,,34.6%,43.7%,12.4%,22.1%,32.7%,43.5%,0.0%,0.0%,3.4%,7.6%,0.0%,0.0%,,,0.1%,1.3%
E14001349,Maidstone and Malling,Conservatives,Labour,Conservatives,32.31%,30.49%,13.99%,16.20%,6.43%,,,0.59%,,1.8%,,28.6%,36.5%,25.8%,34.4%,10.5%,18.2%,12.5%,19.6%,4.6%,8.8%,0.0%,0.0%,,,0.2%,1.7%
E14001350,Makerfield,Labour,Reform UK,Labour,13.86%,55.41%,3.61%,22.28%,4.50%,,,0.34%,,33.1%,,11.2%,16.7%,50.8%,59.6%,2.2%,5.7%,18.7%,26.0%,3.1%,7.0%,0.0%,0.0%,,,0.1%,1.1%
E14001351,Maldon,Conservatives,Reform UK,Conservatives,38.54%,18.94%,13.57%,23.70%,5.25%,,,0.00%,,14.8%,,32.8%,42.6%,13.8%,24.3%,10.1%,20.0%,19.3%,28.6%,3.3%,8.2%,0.0%,0.0%,,,0.0%,0.0%
E14001352,Manchester Central,Labour,Reform UK,Labour,8.44%,64.92%,6.00%,12.50%,7.00%,,,1.13%,,52.4%,,6.8%,10.8%,60.3%,68.8%,3.8%,8.7%,10.1%,15.7%,4.7%,9.7%,0.0%,0.0%,,,0.3%,3.1%
E14001353,Manchester Rusholme,Labour,Green Party,Labour,6.21%,68.09%,0.00%,8.67%,14.71%,,,2.33%,,53.4%,,4.4%,8.7%,62.0%,72.0%,0.0%,0.0%,6.7%,10.9%,10.9%,19.4%,0.0%,0.0%,,,0.7%,6.1%
E14001354,Manchester Withington,Labour,Liberal Democrats,Labour,4.37%,67.35%,13.78%,6.42%,6.96%,,,1.13%,,53.6%,,2.4%,6.4%,60.6%,72.1%,8.8%,20.1%,4.9%,8.4%,3.9%,10.7%,0.0%,0.0%,,,0.3%,3.9%
E14001355,Mansfield,Labour,Conservatives,Conservatives,30.60%,39.78%,3.21%,23.28%,2.76%,,,0.38%,,9.2%,,26.9%,34.4%,35.3%,43.7%,1.9%,5.4%,19.1%,26.8%,1.9%,4.6%,0.0%,0.0%,,,0.1%,1.4%
